Year,Model,Condition,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2023,Ridgeline RTL,New,5.0,4674,Platinum White,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F53PB015418,H34491,10,5.0,4.8,4.8,4.2,5.0,5.0,VA,Dealer
2022,Pilot TrailSport,New,5.0,3543,Platinum White Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H80NB101708,98373,7,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
2022,Civic Si Base,Used,4.3,912,Sonic Gray Pearl,Black / Red,Front-wheel Drive,27–37,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E55NH470129,NH470129,14077,4.2,4.0,4.5,4.2,4.5,5.0,TX,Dealer
2018,CR-V EX,Used,4.7,3,Basque Red Pearl II,Gray,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW1H57JE002007,A3758,62285,4.8,4.7,4.7,4.6,4.7,4.7,LA,Dealer
2022,Pilot Sport,New,5.0,20,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H35NB104690,HO7526,10,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
2022,Pilot TrailSport,New,5.0,2637,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB102798,N1199,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
2015,CR-Z 3dr CVT,Used,4.2,69,Crystal Black Pearl,–,Front-wheel Drive,36–39,Hybrid,1-Speed CVT w/OD,4 Cylinder Engine,JHMZF1D43FS002880,MM12250A,76372,4.5,4.7,4.7,4.9,4.9,5.0,IN,Dealer
2022,Passport EX-L,New,4.8,162,Obsidian Blue,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H50NB024212,18463,2,5.0,5.0,4.9,5.0,4.9,5.0,KY,Dealer
2023,HR-V Sport,New,4.6,527,Pearl,Black,Front-wheel Drive,,Gasoline,Automatic,2.0L I4 16V GDI DOHC,3CZRZ1H59PM728436,PM728436,5,4.0,5.0,4.0,5.0,5.0,5.0,TX,Dealer
2020,Odyssey Elite,Used,5.0,844,Platinum White Pearl,Mocha,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H95LB012171,T012171,44420,4.8,4.8,4.7,4.6,4.7,4.7,FL,Dealer
2022,CR-V Hybrid Touring,Used,4.4,469,Radiant Red Metallic,Gray,All-wheel Drive,40–35,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,5J6RT6H91NL034310,221571,15770,4.6,4.9,4.5,4.6,4.8,4.7,MO,Dealer
2022,Accord Sport 1.5T,Used,4.9,111,Silver,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA065460,1575A,3617,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
2023,Pilot TrailSport,New,4.3,511,Sonic Gray Pearl,Black,All-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H67PB000179,C1155,12,,,,,,,MN,Dealer
2020,Passport EX-L,Used,4.6,904,Lunar Silver Metallic,–,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H55LB017530,YLB017530,14005,4.9,4.8,4.8,4.6,4.8,4.8,NJ,Dealer
2021,Civic LX,Used,4.2,72,Gray,Gray,Front-wheel Drive,30–38,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F60ME200611,59201,15802,4.6,4.7,4.7,4.6,4.8,4.6,ID,Dealer
2019,Passport Elite,Used,5.0,3405,Modern Steel Metallic,–,All-wheel Drive,19–24,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF8H05KB026599,WB16345T,27170,4.8,4.7,4.7,4.6,4.7,4.8,OH,Dealer
2023,CR-V EX,New,4.7,13,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H41PL003427,H13514,5,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer
2020,Ridgeline RTL,Used,5.0,3996,Crystal Black Pearl,Black,Front-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK2F54LB000530,B2579A,62327,4.8,4.7,4.6,4.5,4.7,4.7,FL,Dealer
2022,Pilot Sport,New,5.0,1,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H3XNB102675,N11366,0,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
2019,Ridgeline RTL-T,Used,4.8,32,Modern Steel Metallic,Gray,Front-wheel Drive,19–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK2F6XKB003357,9357,79967,4.9,4.8,4.8,4.6,4.7,4.9,TN,Dealer
2019,CR-V EX-L,Used,5.0,7494,Crystal Black Pearl,Black,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW1H86KH510820,KH510820,38370,4.8,4.8,4.7,4.7,4.8,4.8,AR,Dealer
2020,Civic Sport,Used,4.6,85,Silver,Black,Front-wheel Drive,29–37,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F89LH535579,U535579,48365,4.8,4.8,4.9,4.8,4.9,4.9,AL,Dealer
2022,Pilot TrailSport,New,5.0,7,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB100436,25746,4,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
2022,Accord Sport 1.5T,New,4.8,1030,Still Night Pearl,–,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F31NA104750,NA104750,5,5.0,5.0,5.0,5.0,5.0,5.0,GA,Dealer
2023,Ridgeline RTL-E,New,4.8,55,White,–,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F79PB018521,H5843,7,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
2016,Odyssey EX-L,Used,4.7,447,Silver,Beige,Front-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H65GB007171,P67950B,87512,4.8,4.6,4.7,4.6,4.7,4.8,IL,Dealer
2019,Ridgeline RTL,Used,4.8,15,Blue,Gray,All-wheel Drive,18–25,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F57KB042484,23717241,58583,4.9,4.8,4.8,4.6,4.7,4.9,TN,Dealer
2019,Pilot EX-L,Used,4.5,1007,Steel Sapphire Metallic,Gray,All-wheel Drive,18–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H55KB096040,P44992,23334,4.8,4.7,4.7,4.6,4.7,4.8,OH,Dealer
2022,Insight EX,Honda Certified,4.9,826,Crystal Black Pearl,Black,Front-wheel Drive,55–49,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F51NE004639,E004639A,19973,,,,,,,MI,Dealer
2022,CR-V EX-L,New,4.8,830,Platinum White Pearl,Black,All-wheel Drive,27–32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H85NH621661,220215,3,4.9,4.8,4.7,4.8,4.7,4.9,CT,Dealer
2018,Clarity Plug-In Hybrid Touring,Used,4.0,9531,Silver,Black,Front-wheel Drive,,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,JHMZC5F35JC008865,2002134248,37921,4.8,4.7,4.6,4.6,4.4,4.7,IL,
2021,Accord Hybrid Touring,Used,4.0,333,Radiant Red Metallic,Gray,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F9XMA008923,H25952,28945,4.7,4.5,4.5,4.4,4.6,4.4,IN,Dealer
2023,CR-V EX,New,5.0,292,Canyon River Blue Metallic,B-640m/Black,Front-wheel Drive,28–34,Gasoline,continuously variable automatic,4 Cylinder Engine,7FARS3H44PE003560,H1413,6,5.0,5.0,5.0,4.0,4.0,5.0,CA,Dealer
2019,CR-V LX,Used,4.9,3452,Gray,–,Front-wheel Drive,26–32,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,2HKRW5H38KH409399,P51623A,46988,4.8,4.8,4.7,4.7,4.8,4.8,FL,Dealer
2023,Passport Elite,New,4.7,2713,Platinum White Pearl,–,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNYF8H05PB002178,PB002178,5,,,,,,,CA,Dealer
2018,CR-V EX-L,Used,4.0,9534,Beige,Sport,All-wheel Drive,27–33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RW2H86JL019156,2002130984,11237,4.8,4.7,4.7,4.6,4.7,4.7,IL,
2022,Passport TrailSport,New,4.8,563,Radiant Red Metallic II,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H60NB028365,H17015,11,5.0,5.0,4.9,5.0,4.9,5.0,WA,Dealer
2020,Accord Touring,Used,4.8,80,White,Biege,Front-wheel Drive,22–32,Gasoline,10-SPEED A/T,4 Cylinder Engine,1HGCV2F93LA002177,S7918,53122,4.8,4.8,4.8,4.8,4.9,4.9,UT,Dealer
2022,Pilot Sport,New,4.8,578,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB096351,NB096351,8,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer
2022,Passport Elite,New,4.9,273,Platinum White Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB029833,NB029833,10,5.0,5.0,4.9,5.0,4.9,5.0,TX,Dealer
2023,Civic Touring,New,4.7,790,Sonic Gray Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HGFE1F96PH303718,233019,10,,,,,,,WA,Dealer
2008,Civic EX,Used,4.4,23,Alabaster Silver Metallic,Grey,Front-wheel Drive,26–34,Gasoline,5-Speed Manual,1.8L I4 16V MPFI SOHC,2HGFG11868H512497,175,15630,4.2,4.4,4.3,4.5,4.5,4.7,PA,Dealer
2013,Pilot EX-L w/ Navigation,Used,4.4,394,Polished Metal Metallic,Black,Four-wheel Drive,17–24,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H79DB072431,1372431,88292,4.6,4.5,4.4,4.6,4.4,4.7,CT,Dealer
2022,Pilot EX-L,New,5.0,3543,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H54NB097880,98215,12,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
2023,Ridgeline RTL,New,5.0,2291,Radiant Red Metallic II,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F56PB012724,PB012724,5,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
2021,Accord LX 1.5T,Used,4.3,1085,White,–,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F11MA077854,28911A,27562,4.9,4.8,4.8,4.8,4.9,4.8,TX,Dealer
2014,Civic Si,Used,4.2,241,Taffeta White,Black / Red,Front-wheel Drive,22–31,Gasoline,6-Speed Manual,2.4L I4 16V MPFI DOHC,2HGFB6E54EH702354,2400703B,47811,4.5,4.5,4.5,4.6,4.6,4.8,PA,Dealer
2022,Accord Sport 1.5T,New,5.0,4272,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F31NA123086,H21203,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
2023,Odyssey EX-L,New,4.4,7,–,–,Front-wheel Drive,,Gasoline,10-Speed Automatic with Overdrive,3.5L V6 24V GDI SOHC,5FNRL6H62PB031238,25839T,5,5.0,5.0,4.0,4.0,4.0,5.0,LA,Dealer
2022,Accord Hybrid Sport,New,5.0,1,Lunar Silver Metallic,Black,FWD,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F21NA046920,N11364,0,4.9,5.0,5.0,4.9,4.9,5.0,NC,Dealer
2022,Insight Touring,Honda Certified,4.6,6558,Lunar Silver Metallic,Black,Front-wheel Drive,51–45,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F93NE013507,L31300,5527,,,,,,,MN,Dealer
2022,Accord Sport 1.5T,New,5.0,949,Sonic Gray Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F30NA059557,H22425,5471,5.0,5.0,5.0,5.0,5.0,5.0,CT,Dealer
2023,Odyssey Elite,New,5.0,1664,Crystal Black Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H90PB017591,35579,5,5.0,5.0,4.0,4.0,4.0,5.0,VA,Dealer
2023,CR-V EX,New,4.7,38,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H42PE007516,53088,14,5.0,5.0,5.0,4.0,4.0,5.0,IN,Dealer
2023,CR-V EX-L,New,4.2,40,Still Night,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH402172,Y230049,168,5.0,5.0,5.0,4.0,4.0,5.0,OH,Dealer
2016,Pilot EX-L,Used,4.8,743,Lunar Silver Metallic,Gray,All-wheel Drive,18–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H50GB070100,R12184A,112005,4.7,4.6,4.5,4.4,4.6,4.6,IL,Dealer
2019,Passport EX-L,Used,4.9,5418,Crystal Black Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H55KB021883,L8095,29077,4.8,4.7,4.7,4.6,4.7,4.8,MN,Dealer
2019,Passport EX-L,Used,5.0,921,Black Copper Pearl,Gray,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H57KB002407,NG293406Q,48052,4.8,4.7,4.7,4.6,4.7,4.8,NC,Dealer
2016,Civic EX-T,Used,5.0,2791,Crystal Black Pearl,Black,Front-wheel Drive,31–42,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFC1F39GE202510,KZ202510,155097,4.6,4.6,4.6,4.6,4.8,4.6,MD,Dealer
2021,Passport EX-L,Used,4.9,958,–,–,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,V6 Cylinder Engine,5FNYF7H53MB009163,HP10811,17025,4.9,4.7,4.8,4.6,4.8,4.8,NC,Dealer
2020,Odyssey EX-L,Used,4.7,0,–,–,Front-wheel Drive,19–0,Gasoline,10 speed automatic,V6 Cylinder Engine,5FNRL6H78LB020599,T224263B,45669,4.8,4.8,4.7,4.6,4.7,4.7,TX,Dealer
2018,Accord EX-L 2.0T,Used,4.8,17,Platinum White Pearl,Black,Front-wheel Drive,23–34,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F58JA011077,C7120,57520,4.8,4.8,4.7,4.7,4.8,4.8,SD,Dealer
2023,CR-V Hybrid Sport,New,4.4,38,Crystal Black Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H5XPE006277,53136,3,5.0,3.0,4.0,4.0,5.0,5.0,IN,Dealer
2023,CR-V EX-L,New,5.0,3543,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H72PH401878,98120,6,5.0,5.0,5.0,4.0,4.0,5.0,IL,Dealer
2023,Ridgeline RTL-E,Used,4.8,1043,Blue,–,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F77PB011325,L6175,1000,5.0,4.8,4.8,4.2,5.0,5.0,OH,Dealer
2019,Pilot EX-L,Used,4.2,9,White Diamond Pearl,Black,All-wheel Drive,18–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H59KB084215,T561996A,66153,4.8,4.7,4.7,4.6,4.7,4.8,KY,Dealer
2022,Pilot Sport,New,4.8,1732,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H34NB102977,P1987,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
2022,Accord Sport 1.5T,New,4.8,723,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F32NA061052,H061052R,5,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer
2018,Odyssey Elite,Used,4.5,285,Burgundy,Beige,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H93JB075606,22X172A,37768,4.8,4.7,4.6,4.3,4.7,4.6,WA,Dealer
2016,Accord LX,Used,4.0,30,Obsidian Blue Pearl,Gray,Front-wheel Drive,27–37,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,1HGCR2F33GA171380,4171380,93774,4.8,4.7,4.7,4.7,4.8,4.8,MO,Dealer
2022,Pilot TrailSport,New,4.4,928,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H89NB083130,22083130,11,5.0,5.0,5.0,5.0,5.0,5.0,SC,Dealer
2023,Civic Sport,New,4.6,985,Rallye Red,Black,Front-wheel Drive,,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC,19XFL2G89PE002159,2C0182,5,,,,,,,CO,Dealer
2022,Insight Touring,Honda Certified,4.5,437,Platinum White Pearl,Ivory,Front-wheel Drive,51–45,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F91NE006457,CBM220436A,18069,,,,,,,FL,Dealer
2015,Accord Sport,Used,4.0,9531,Burgundy,Black,Front-wheel Drive,26–35,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,1HGCR2F50FA177010,2001964365,45656,4.7,4.6,4.7,4.7,4.7,4.8,IL,
2019,Odyssey EX-L w/Navigation/RES,Used,4.2,90,Crystal Black Pearl,Mocha,Front-wheel Drive,19–28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71KB118159,232071A,37711,4.8,4.6,4.5,4.3,4.7,4.5,NY,Dealer
2021,Pilot Special Edition,Honda Certified,4.3,114,Black,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H29MB022595,H22-506AL,26181,4.9,4.8,4.8,4.7,4.7,4.8,MA,Dealer
2014,Crosstour EX-L,Used,4.8,1053,Crystal Black Pearl,Black,Four-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J6TF2H53EL800783,7785Q,92830,4.8,4.8,5.0,4.6,4.7,4.8,IN,Dealer
2023,CR-V EX,New,5.0,1026,Platinum White Pearl,Gray,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,2HKRS4H46PH411254,2CR1613,10,5.0,5.0,5.0,4.0,4.0,5.0,IN,Dealer
2019,Clarity Plug-In Hybrid Touring,Used,4.3,232,Solar Silver Metallic,Black,Front-wheel Drive,,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,JHMZC5F3XKC004960,P64938,54910,4.9,4.9,4.9,5.0,4.7,5.0,CA,Dealer
2021,Accord Hybrid Touring,Used,4.5,0,White,Ivory,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F96MA000754,23890867,24470,4.7,4.5,4.5,4.4,4.6,4.4,AL,Dealer
2015,CR-Z EX,Used,4.8,12,Blue,Black,FWD,,Hybrid,Automatic CVT,1.5L I4 16V MPFI SOHC Hybrid,JHMZF1D6XFS003705,23588256,41688,4.5,4.7,4.7,4.9,4.9,5.0,IL,Dealer
2021,Pilot Special Edition,Used,4.8,33,Platinum White Pearl,Gray,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H21MB058605,P10268A-2,26054,4.9,4.8,4.8,4.7,4.7,4.8,OH,Dealer
