,MaritalStatus,NumberOfChildren,NumberOfYoungChildren,Minority,Debts,Income,Education,LegalKnowledge,InvolvedInLegalDispute,ExperienceWithCourtProceedings,CourtProceedingsSatisfaction,ExperienceWithMediation,MediationSatisfaction,ExperienceWithArbitration,ArbitrationSatisfaction,BF1,BF2,BF3,BF4,BF5,BF6,BF7,BF8,BF9,BF10,BF11,BF12,BF13,BF14,BF15,TK1,TK2,TK3,TK4,TK5,TK6,TK7,TK8,TK9,TK10,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Student status,Employment status,STNumber,Feelings,Speed,Privacy,PublicVindication,NeutralOpinion,MinimizeCosts,MaintainImproveRelationship,CreatePrecedent,MinMaxCompensation,CreativeSolution,ControlOfProcess,ControlOfOutcome,ShiftResponsibility,EnsuringCompliance,TransformationOfTheParties,ImproveUnderstanding,RecognitionApology,Classification,StrengthPosition,Decision
10,Married,1,1,TRUE,Some Debts,Average,Bachelor,Some Knowledge,TRUE,FALSE,0,TRUE,4,TRUE,3,4,3,4,4,2,3,4,5,3,2,4,3,4,2,4,B,A,B,A,A,B,B,A,B,B,35,Male,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,6,"[""fear"",""happiness""]",3,4,2,3,4,5,3,4,2,3,4,3,4,3,4,2,Common Dispute,Stronger,Mediation
11,Married,1,1,TRUE,Some Debts,Average,Bachelor,Some Knowledge,TRUE,FALSE,0,TRUE,4,TRUE,3,4,3,4,4,2,3,4,5,3,2,4,3,4,2,4,B,A,B,A,A,B,B,A,B,B,35,Male,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,9,"[""fear"",""sadness""]",3,2,3,4,2,3,4,3,4,2,4,3,4,2,5,4,Common Dispute,Weaker,Let go
12,Married,1,1,FALSE,A lot,Average,Doctorate,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,3,3,1,1,5,4,4,4,2,4,4,4,5,4,A,B,A,B,A,B,B,B,A,B,43,Male,White,Italy,Italy,Italy,No,Full-Time,10,"[""anger"",""frustration"",""hate""]",2,2,4,5,2,1,5,5,2,4,3,5,4,5,4,5,Serious Dispute,Stronger,Arbitration
13,Married,1,1,FALSE,A lot,Average,Doctorate,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,3,3,1,1,5,4,4,4,2,4,4,4,5,4,A,B,A,B,A,B,B,B,A,B,43,Male,White,Italy,Italy,Italy,No,Full-Time,8,"[""fear"",""stress"",""frustration""]",2,3,2,5,4,1,4,5,2,1,4,3,4,5,5,3,Common Dispute,Weaker,Mediation
14,Married,1,1,FALSE,A lot,Average,Doctorate,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,3,3,1,1,5,4,4,4,2,4,4,4,5,4,A,B,A,B,A,B,B,B,A,B,43,Male,White,Italy,Italy,Italy,No,Full-Time,5,"[""confusion"",""stress"",""frustration""]",4,4,1,2,4,4,4,3,5,5,5,2,2,3,4,4,Misunderstanding,Weaker,Negotiation
15,Single,1,2,FALSE,No Debts,Average,Bachelor,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,2,4,3,3,4,4,5,4,2,4,5,4,1,5,B,B,A,B,B,B,A,B,A,B,48,Female,White,Spain,Spain,Spain,No,Part-Time,2,"[""frustration"",""sadness"",""stress""]",4,4,4,4,3,2,5,4,5,4,3,5,5,4,4,4,Serious Dispute,Weaker,Adjudication
16,Single,1,2,FALSE,No Debts,Average,Bachelor,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,2,4,3,3,4,4,5,4,2,4,5,4,1,5,B,B,A,B,B,B,A,B,A,B,48,Female,White,Spain,Spain,Spain,No,Part-Time,3,"[""hate"",""confusion""]",3,4,3,3,3,5,3,3,4,5,4,4,5,3,4,3,Common Dispute,Weaker,Negotiation
17,Single,1,2,FALSE,No Debts,Average,Bachelor,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,2,4,3,3,4,4,5,4,2,4,5,4,1,5,B,B,A,B,B,B,A,B,A,B,48,Female,White,Spain,Spain,Spain,No,Part-Time,5,"[""anger"",""confusion"",""sadness""]",4,2,2,5,2,4,3,3,2,4,5,2,3,3,4,5,Serious Dispute,Stronger,Negotiation
18,Single,0,0,FALSE,No Debts,Below Average,Master,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,3,2,1,4,4,4,4,3,2,4,4,4,4,A,A,A,B,A,B,A,A,B,B,30,Male,Mixed,Finland,Finland,Finland,DATA_EXPIRED,DATA_EXPIRED,9,"[""frustration"",""curiosity"",""anger""]",4,3,4,3,5,4,4,4,4,4,5,3,4,3,4,4,Common Dispute,Stronger,Negotiation
19,Single,0,0,FALSE,No Debts,Below Average,Master,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,3,2,1,4,4,4,4,3,2,4,4,4,4,A,A,A,B,A,B,A,A,B,B,30,Male,Mixed,Finland,Finland,Finland,DATA_EXPIRED,DATA_EXPIRED,4,"[""frustration"",""anger"",""fear"",""confusion""]",5,4,4,4,5,1,3,5,4,5,5,3,4,3,4,4,Serious Dispute,Weaker,Adjudication
20,Single,0,0,FALSE,No Debts,Below Average,Master,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,3,2,1,4,4,4,4,3,2,4,4,4,4,A,A,A,B,A,B,A,A,B,B,30,Male,Mixed,Finland,Finland,Finland,DATA_EXPIRED,DATA_EXPIRED,1,"[""hate"",""frustration"",""anger"",""fear""]",4,5,5,4,5,4,4,5,4,4,5,3,4,4,5,5,Misunderstanding,Stronger,Public Complaint
21,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,4,3,3,4,3,3,4,2,3,4,4,3,4,B,B,B,B,A,B,B,A,A,B,24,Male,White,Portugal,Portugal,Portugal,No,Full-Time,3,"[""frustration""]",4,4,2,3,4,4,3,4,2,3,3,3,3,3,4,4,Common Dispute,Weaker,Adjudication
22,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,4,3,3,4,3,3,4,2,3,4,4,3,4,B,B,B,B,A,B,B,A,A,B,24,Male,White,Portugal,Portugal,Portugal,No,Full-Time,7,"[""anger""]",4,4,1,3,5,2,4,4,2,3,4,3,3,3,3,3,Common Dispute,Weaker,Arbitration
23,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,4,3,3,4,3,3,4,2,3,4,4,3,4,B,B,B,B,A,B,B,A,A,B,24,Male,White,Portugal,Portugal,Portugal,No,Full-Time,8,"[""frustration"",""stress""]",4,4,1,3,5,2,4,4,3,3,4,3,3,3,3,3,Common Dispute,Stronger,Mediation
24,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,3,3,5,4,2,2,4,5,1,4,4,4,2,4,B,B,A,B,B,B,B,B,A,B,21,Male,White,Portugal,Portugal,Portugal,Yes,Full-Time,10,"[""anger""]",2,1,3,4,4,1,2,2,3,4,4,4,4,3,4,2,Serious Dispute,Weaker,Public Complaint
25,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,3,3,5,4,2,2,4,5,1,4,4,4,2,4,B,B,A,B,B,B,B,B,A,B,21,Male,White,Portugal,Portugal,Portugal,Yes,Full-Time,9,"[""anger""]",2,1,4,3,2,2,5,4,1,2,4,2,3,3,4,5,Major Conflict,Weaker,Negotiation
26,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,3,3,5,4,2,2,4,5,1,4,4,4,2,4,B,B,A,B,B,B,B,B,A,B,21,Male,White,Portugal,Portugal,Portugal,Yes,Full-Time,6,"[""frustration""]",3,2,3,4,4,2,2,4,2,4,4,5,4,4,4,2,Serious Dispute,Weaker,Adjudication
27,Married,1,0,FALSE,Some Debts,Above Average,Bachelor,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,2,4,4,2,4,5,5,1,4,4,4,1,5,B,A,A,A,B,A,A,B,A,A,67,Female,White,Netherlands,Portugal,Netherlands,No,Part-Time,5,"[""sadness"",""stress"",""frustration""]",4,4,5,5,5,5,5,5,5,5,5,2,4,2,4,4,Common Dispute,Weaker,Mediation
28,Married,1,0,FALSE,Some Debts,Above Average,Bachelor,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,2,4,4,2,4,5,5,1,4,4,4,1,5,B,A,A,A,B,A,A,B,A,A,67,Female,White,Netherlands,Portugal,Netherlands,No,Part-Time,10,"[""sadness"",""anger"",""frustration"",""stress""]",5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,5,Serious Dispute,Weaker,Adjudication
29,Married,1,0,FALSE,Some Debts,Above Average,Bachelor,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,2,4,4,2,4,5,5,1,4,4,4,1,5,B,A,A,A,B,A,A,B,A,A,67,Female,White,Netherlands,Portugal,Netherlands,No,Part-Time,7,"[""anger"",""frustration"",""sadness"",""stress""]",5,5,5,5,5,4,4,5,5,5,5,4,4,3,4,5,Serious Dispute,Weaker,Mediation
30,Single,2,0,TRUE,No Debts,Below Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,2,2,3,4,4,4,4,1,4,4,4,2,4,A,B,B,B,A,B,B,A,A,B,59,Female,Mixed,United Kingdom,United Kingdom,DATA_EXPIRED,No,Part-Time,8,"[""sadness"",""anger"",""confusion""]",4,3,3,3,4,3,3,3,3,3,4,3,3,3,4,4,Common Dispute,Weaker,Negotiation
31,Single,2,0,TRUE,No Debts,Below Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,2,2,3,4,4,4,4,1,4,4,4,2,4,A,B,B,B,A,B,B,A,A,B,59,Female,Mixed,United Kingdom,United Kingdom,DATA_EXPIRED,No,Part-Time,10,"[""anger"",""frustration"",""stress"",""sadness""]",4,2,5,4,4,1,5,3,3,4,4,4,4,5,5,5,Common Dispute,Weaker,Public Complaint
32,Single,2,0,TRUE,No Debts,Below Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,2,2,3,4,4,4,4,1,4,4,4,2,4,A,B,B,B,A,B,B,A,A,B,59,Female,Mixed,United Kingdom,United Kingdom,DATA_EXPIRED,No,Part-Time,9,"[""curiosity"",""frustration"",""confusion""]",4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,3,Serious Dispute,Weaker,Arbitration
33,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,5,1,1,1,4,4,4,5,5,2,2,4,4,4,A,A,B,B,A,B,B,A,A,B,30,Female,White,United Kingdom,United Kingdom,United Kingdom,No,Part-Time,4,"[""sadness""]",4,4,3,2,5,4,4,4,5,4,4,2,4,4,4,4,Common Dispute,Stronger,Negotiation
34,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,5,1,1,1,4,4,4,5,5,2,2,4,4,4,A,A,B,B,A,B,B,A,A,B,30,Female,White,United Kingdom,United Kingdom,United Kingdom,No,Part-Time,7,"[""anger"",""hate""]",5,1,5,1,1,1,5,5,5,5,5,1,5,5,5,5,Serious Dispute,Stronger,Public Complaint
35,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,5,1,1,1,4,4,4,5,5,2,2,4,4,4,A,A,B,B,A,B,B,A,A,B,30,Female,White,United Kingdom,United Kingdom,United Kingdom,No,Part-Time,9,"[""anger"",""frustration"",""sadness"",""fear""]",5,1,5,5,5,1,5,5,5,5,5,1,5,5,5,5,Major Conflict,Stronger,Mediation
36,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,5,4,4,2,4,3,4,4,4,3,4,4,4,B,A,A,B,B,A,B,B,B,B,22,Male,White,Portugal,Portugal,Portugal,Yes,Full-Time,2,"[""frustration"",""anger"",""sadness""]",3,3,4,3,4,1,4,4,4,4,4,3,4,4,4,4,Serious Dispute,Weaker,Adjudication
37,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,5,4,4,2,4,3,4,4,4,3,4,4,4,B,A,A,B,B,A,B,B,B,B,22,Male,White,Portugal,Portugal,Portugal,Yes,Full-Time,5,"[""frustration"",""sadness""]",3,3,3,3,4,4,3,3,4,3,3,3,3,4,4,4,Common Dispute,Stronger,Let go
38,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,5,4,4,2,4,3,4,4,4,3,4,4,4,B,A,A,B,B,A,B,B,B,B,22,Male,White,Portugal,Portugal,Portugal,Yes,Full-Time,1,"[""frustration""]",4,2,4,4,3,2,4,4,3,4,5,3,3,4,3,4,Common Dispute,Stronger,Mediation
39,Married,1,0,FALSE,No Debts,Average,Bachelor,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,2,2,2,2,4,3,4,4,3,3,4,4,2,4,A,A,A,B,B,A,A,B,A,B,59,Male,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,10,"[""anger"",""frustration"",""confusion""]",4,3,4,4,4,3,4,3,3,4,4,2,4,4,4,4,Serious Dispute,Weaker,Adjudication
40,Married,1,0,FALSE,No Debts,Average,Bachelor,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,2,2,2,2,4,3,4,4,3,3,4,4,2,4,A,A,A,B,B,A,A,B,A,B,59,Male,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,4,"[""frustration"",""anger"",""stress""]",4,2,4,4,4,4,4,4,3,4,4,3,4,4,4,4,Common Dispute,Weaker,Mediation
41,Married,1,0,FALSE,No Debts,Average,Bachelor,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,2,2,2,2,4,3,4,4,3,3,4,4,2,4,A,A,A,B,B,A,A,B,A,B,59,Male,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,6,"[""anger"",""frustration"",""stress""]",4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,Serious Dispute,Weaker,Public Complaint
42,Married,0,0,FALSE,No Debts,Above Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,3,4,3,2,3,3,2,4,3,2,2,4,1,4,B,B,A,B,B,A,A,A,A,B,28,Male,White,Poland,Poland,Poland,No,Full-Time,7,"[""frustration"",""anger"",""confusion""]",4,4,3,3,4,3,4,4,2,4,3,4,3,4,4,3,Minor Disagreement,Stronger,Mediation
43,Married,0,0,FALSE,No Debts,Above Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,3,4,3,2,3,3,2,4,3,2,2,4,1,4,B,B,A,B,B,A,A,A,A,B,28,Male,White,Poland,Poland,Poland,No,Full-Time,3,"[""frustration"",""fear"",""confusion"",""stress""]",4,3,4,3,4,4,3,4,3,4,4,4,3,3,4,1,Common Dispute,Stronger,Public Complaint
44,Married,0,0,FALSE,No Debts,Above Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,3,4,3,2,3,3,2,4,3,2,2,4,1,4,B,B,A,B,B,A,A,A,A,B,28,Male,White,Poland,Poland,Poland,No,Full-Time,8,"[""frustration"",""confusion"",""curiosity"",""hate""]",2,4,5,5,3,4,5,5,2,3,4,5,4,2,3,3,Serious Dispute,Weaker,Arbitration
45,Married,1,0,FALSE,No Debts,Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,1,5,5,5,1,4,4,4,1,3,4,5,1,5,A,B,A,B,A,B,A,B,A,B,68,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",9,"[""frustration"",""confusion""]",5,2,3,4,5,4,5,3,3,5,4,3,5,4,5,5,Common Dispute,Stronger,Adjudication
46,Married,1,0,FALSE,No Debts,Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,1,5,5,5,1,4,4,4,1,3,4,5,1,5,A,B,A,B,A,B,A,B,A,B,68,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",6,"[""sadness"",""stress""]",5,2,5,2,4,3,3,3,3,4,5,1,5,3,1,5,Common Dispute,Weaker,Public Complaint
47,Married,1,0,FALSE,No Debts,Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,1,5,5,5,1,4,4,4,1,3,4,5,1,5,A,B,A,B,A,B,A,B,A,B,68,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",3,"[""anger"",""frustration"",""confusion""]",3,3,2,5,1,3,3,4,3,5,5,4,4,3,1,5,Serious Dispute,Stronger,Adjudication
48,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,3,4,4,3,2,2,2,1,2,4,5,5,5,B,A,A,B,A,B,B,B,A,B,40,Male,White,Greece,Greece,Greece,No,Full-Time,1,"[""anger"",""stress""]",4,2,2,5,3,2,2,1,1,4,4,2,5,3,2,3,Common Dispute,Stronger,Arbitration
49,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,3,4,4,3,2,2,2,1,2,4,5,5,5,B,A,A,B,A,B,B,B,A,B,40,Male,White,Greece,Greece,Greece,No,Full-Time,7,"[""anger"",""sadness"",""stress""]",5,1,2,5,3,2,2,5,1,4,4,5,5,1,2,3,Serious Dispute,Stronger,Adjudication
50,Single,0,0,FALSE,No Debts,Average,Master,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,3,4,4,3,2,2,2,1,2,4,5,5,5,B,A,A,B,A,B,B,B,A,B,40,Male,White,Greece,Greece,Greece,No,Full-Time,4,"[""anger"",""stress""]",2,1,1,4,2,1,1,4,1,4,4,4,2,1,2,1,Serious Dispute,Stronger,Public Complaint
51,Married,2,0,FALSE,No Debts,Below Average,High School,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,4,1,5,5,1,3,4,4,3,4,3,5,1,4,B,A,A,B,A,B,B,B,A,A,57,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",4,"[""frustration"",""anger"",""fear"",""stress""]",4,2,2,3,5,3,2,4,2,4,4,3,4,4,4,4,Common Dispute,Weaker,Negotiation
52,Married,2,0,FALSE,No Debts,Below Average,High School,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,4,1,5,5,1,3,4,4,3,4,3,5,1,4,B,A,A,B,A,B,B,B,A,A,57,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",7,"[""anger"",""fear"",""frustration"",""stress"",""sadness""]",5,1,4,4,5,4,5,5,2,5,5,4,5,4,4,5,Serious Dispute,Stronger,Arbitration
53,Married,2,0,FALSE,No Debts,Below Average,High School,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,4,1,5,5,1,3,4,4,3,4,3,5,1,4,B,A,A,B,A,B,B,B,A,A,57,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2,"[""anger"",""sadness"",""fear"",""frustration"",""stress"",""confusion""]",5,2,3,4,5,2,4,5,3,4,4,3,3,4,4,4,Serious Dispute,Weaker,Arbitration
54,Married,2,0,FALSE,Some Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,2,2,3,1,1,5,3,3,3,1,3,4,5,1,5,A,A,A,B,B,A,A,B,A,A,64,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",4,"[""frustration"",""stress"",""anger""]",5,4,4,4,5,3,3,4,3,4,4,3,2,4,4,5,Serious Dispute,Stronger,Mediation
55,Married,2,0,FALSE,Some Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,2,2,3,1,1,5,3,3,3,1,3,4,5,1,5,A,A,A,B,B,A,A,B,A,A,64,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2,"[""anger"",""sadness"",""frustration"",""stress"",""fear"",""confusion""]",4,5,2,4,5,3,4,5,3,3,3,2,3,4,4,5,Serious Dispute,Stronger,Negotiation
56,Married,2,0,FALSE,Some Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,2,2,3,1,1,5,3,3,3,1,3,4,5,1,5,A,A,A,B,B,A,A,B,A,A,64,Female,White,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",8,"[""anger"",""stress""]",5,3,3,2,5,3,4,4,3,4,4,3,4,4,4,5,Serious Dispute,Weaker,Negotiation
57,Single,0,0,FALSE,No Debts,Average,Bachelor,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,3,3,4,3,4,3,4,1,5,4,5,2,4,A,B,B,B,B,A,A,B,A,B,22,Male,White,Greece,Greece,Greece,Yes,Full-Time,9,"[""anger"",""stress""]",3,4,2,3,4,5,5,4,3,3,4,3,4,4,5,4,Common Dispute,Stronger,Negotiation
58,Single,0,0,FALSE,No Debts,Average,Bachelor,No Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,4,4,3,3,4,3,4,3,4,1,5,4,5,2,4,A,B,B,B,B,A,A,B,A,B,22,Male,White,Greece,Greece,Greece,Yes,Full-Time,6,"[""stress"",""frustration"",""sadness""]",3,2,4,4,5,1,5,5,3,5,4,2,4,3,4,5,Serious Dispute,Stronger,Mediation
