,Year,Model,Condition,Price,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
10,2022,Ridgeline RTL-E,New,42795,4.7,obsidian blue pearl,gray,AWD,18–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,9268,5.0,4.9,4.9,4.3,4.7,5.0,WA,Dealer
11,2023,Ridgeline RTL-E,New,48820,4.8,platinum white pearl,beige,AWD,22–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,5,5.0,4.8,4.8,4.2,5.0,5.0,NE,Dealer
12,2023,HR-V Sport,New,29039,4.6,platinum white pearl,black,AWD,25–30,Gasoline,cvt,4 Cylinder Engine,16,4.0,5.0,4.0,5.0,5.0,5.0,OK,Dealer
13,2023,CR-V EX-L,New,36504,4.7,crystal black pearl,gray,AWD,27–32,Gasoline,cvt,4 Cylinder Engine,2,5.0,5.0,5.0,4.0,4.0,5.0,OK,Dealer
14,2023,CR-V Hybrid Sport,New,34089,4.4,platinum white pearl,black,FWD,36–43,Hybrid,cvt,4 Cylinder Engine,2,5.0,3.0,4.0,4.0,5.0,5.0,OK,Dealer
15,2022,Pilot TrailSport,New,46420,4.4,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer
16,2022,Passport Elite,New,47620,4.9,platinum white pearl,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,4.9,5.0,4.9,5.0,TX,Dealer
17,2022,Pilot Sport,New,39595,4.5,crystal black pearl,crystal black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer
18,2023,CR-V EX-L,New,35400,4.9,platinum white pearl,black,FWD,22–31,Gasoline,cvt,1.5L I4 16V DOHC,10,5.0,5.0,5.0,4.0,4.0,5.0,TX,Dealer
19,2022,Pilot TrailSport,New,46500,4.6,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,8,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer
20,2022,Accord Sport 2.0T,New,35150,4.8,platinum white pearl,black,FWD,22–32,Gasoline,10-speed automatic,2.0L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer
21,2022,Accord Sport 1.5T,New,30075,4.8,crystal black pearl,black,FWD,29–35,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer
22,2022,Pilot TrailSport,New,46719,4.5,platinum white pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer
23,2022,Passport TrailSport,New,41500,4.5,basque red pearl ii,crystal black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,13,5.0,5.0,4.9,5.0,4.9,5.0,MO,Dealer
24,2022,Pilot EX-L,New,43605,5.0,lunar silver metallic,gray,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,5.0,5.0,5.0,5.0,5.0,MN,Dealer
25,2023,Odyssey Sport,New,43160,4.4,platinum white pearl,black,FWD,22–31,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,4.0,4.0,4.0,5.0,IA,Dealer
26,2022,Passport EX-L,New,43230,4.9,radiant red metallic ii,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,1,5.0,5.0,4.9,5.0,4.9,5.0,IA,Dealer
27,2023,CR-V EX-L,New,36505,4.7,lunar silver metallic,black,AWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,6,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer
28,2023,CR-V EX,New,34250,4.7,platinum white pearl,gray,AWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,6,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer
29,2022,Pilot TrailSport,New,46500,5.0,platinum white pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,16,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer
30,2023,CR-V EX-L,New,35005,4.7,meteorite gray metallic,gray,FWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,1,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer
31,2023,CR-V EX-L,New,37055,4.7,crystal black pearl,gray,AWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,1,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer
32,2022,Passport TrailSport,New,47848,4.9,sonic gray pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,32,5.0,5.0,4.9,5.0,4.9,5.0,IA,Dealer
33,2022,Pilot Special Edition,New,44205,5.0,modern steel metallic,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,1,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer
34,2023,Passport TrailSport,New,44290,4.8,platinum white pearl,black,AWD,22–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,12,4.8,5.0,5.0,4.1,4.6,4.9,LA,Dealer
35,2023,CR-V EX-L,New,38500,4.7,crystal black pearl,black,AWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,12,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer
36,2023,CR-V EX-L,New,37000,4.7,silver,black,FWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,12,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer
37,2023,CR-V EX-L,New,35400,4.7,platinum white pearl,black,FWD,22–31,Gasoline,1-speed cvt with overdrive,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer
38,2023,CR-V EX-L,New,35900,4.7,urban gray pearl,black,AWD,22–31,Gasoline,1-speed cvt with overdrive,1.5L I4 16V GDI DOHC Turbo,3,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer
39,2023,CR-V EX-L,New,36505,3.7,lunar silver metallic,black,AWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,2,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer
40,2022,Accord Hybrid Sport,New,34555,4.7,white,black,FWD,41–44,Hybrid,cvt,2.0L I4 16V MPFI DOHC Hybrid,12,4.9,5.0,5.0,4.9,4.9,5.0,LA,Dealer
41,2022,Pilot Sport,New,39780,5.0,sonic gray pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
42,2023,Passport TrailSport,New,41441,4.2,black,black,AWD,22–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,4,5.0,4.0,4.3,4.4,4.6,4.9,LA,Dealer
43,2022,Pilot Sport,New,41770,5.0,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
44,2023,Odyssey Sport,New,43050,4.4,platinum white pearl,black,FWD,22–31,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,4.0,4.0,4.0,5.0,IL,Dealer
45,2023,Ridgeline Black Edition,New,44042,5.0,platinum white pearl,black,AWD,22–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,4.8,4.8,4.2,5.0,5.0,IL,Dealer
46,2022,Pilot Sport,New,41770,4.7,platinum white pearl,nh-883p/black,AWD,19–26,Gasoline,9-speed automatic,V6 Cylinder Engine,7,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
47,2023,Odyssey Sport,New,42655,4.6,crystal black pearl,crystal black,FWD,22–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,8,5.0,5.0,4.0,4.0,4.0,5.0,IL,Dealer
48,2022,Pilot TrailSport,New,46105,4.6,crystal black pearl,crystal black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3042,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
49,2023,Passport TrailSport,New,45580,4.8,sonic gray pearl,black,AWD,22–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,4.8,4.7,4.6,4.1,5.0,4.7,IL,Dealer
50,2023,CR-V Hybrid Sport,New,34090,4.4,platinum,black,FWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,12,5.0,3.0,4.0,4.0,5.0,5.0,KY,Dealer
51,2022,Pilot Sport,New,40770,4.6,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer
52,2022,Passport Elite,New,50125,5.0,black,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,1,5.0,5.0,4.9,5.0,4.9,5.0,KY,Dealer
53,2022,Pilot Sport,New,40270,4.9,platinum white,crystal black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,4,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer
54,2022,Pilot Sport,New,40270,4.9,platinum white,crystal black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,4,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer
55,2022,Accord Sport SE,New,31960,5.0,still night pearl,black,FWD,29–35,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,6,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer
56,2023,CR-V Hybrid Sport Touring,New,40240,5.0,urban gray pearl,black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,176,5.0,3.0,4.0,4.0,5.0,5.0,GA,Dealer
57,2023,CR-V Hybrid Sport,New,35745,4.5,meteorite gray metallic,crystal black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,5,5.0,3.0,4.0,4.0,5.0,5.0,GA,Dealer
58,2023,Odyssey EX-L,New,41486,4.6,gray,gray,FWD,22–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,4,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer
59,2022,Ridgeline RTL-E,New,45760,5.0,platinum white pearl,beige,AWD,18–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,23,5.0,4.9,4.9,4.3,4.7,5.0,GA,Dealer
60,2022,Accord Hybrid Sport,New,32560,5.0,platinum white pearl,black,FWD,41–44,Hybrid,cvt,2.0L I4 16V MPFI DOHC Hybrid,20,4.9,5.0,5.0,4.9,4.9,5.0,GA,Dealer
61,2022,Accord Hybrid Sport,New,32560,5.0,platinum white pearl,black,FWD,41–44,Hybrid,cvt,2.0L I4 16V MPFI DOHC Hybrid,20,4.9,5.0,5.0,4.9,4.9,5.0,GA,Dealer
62,2022,Pilot Special Edition,New,44205,5.0,crystal black pearl,blk lth,AWD,19–26,Gasoline,9-speed automatic,V6 Cylinder Engine,6,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer
63,2023,Odyssey Sport,New,43050,4.4,platinum white pearl,blk lth,FWD,19–28,Gasoline,10-speed automatic,V6 Cylinder Engine,0,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer
64,2023,Ridgeline RTL,New,43075,4.8,crystal black pearl,crystal black,AWD,22–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,7,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer
65,2022,Pilot Touring 7-Passenger,New,46465,5.0,modern steel metallic,black,FWD,20–27,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,9,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
66,2023,HR-V LX,New,24895,4.6,gray,crystal black,FWD,22–31,Gasoline,cvt,2.0L I4 16V GDI DOHC,80,4.0,5.0,4.0,5.0,5.0,5.0,CA,Dealer
67,2023,Ridgeline RTL-E,New,45920,4.8,platinum white pearl,beige,AWD,22–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,5,5.0,4.8,4.8,4.2,5.0,5.0,NE,Dealer
68,2023,CR-V Hybrid Sport Touring,New,39845,4.8,meteorite gray metallic,black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,16,5.0,3.0,4.0,4.0,5.0,5.0,TX,Dealer
69,2023,CR-V EX-L,New,36900,4.7,still night pearl,black,AWD,27–32,Gasoline,cvt,4 Cylinder Engine,12,5.0,5.0,5.0,4.0,4.0,5.0,MO,Dealer
70,2023,CR-V EX-L,New,36983,4.5,lunar silver metallic,black,AWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,10,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer
71,2022,Pilot Sport,New,39950,4.5,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,15,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer
72,2023,Passport EX-L,New,42790,4.5,platinum white pearl,gray,AWD,22–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,4.9,5.0,4.3,4.4,5.0,5.0,IA,Dealer
73,2022,Pilot Special Edition,New,44600,4.8,platinum white pearl,crystal black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer
74,2022,Pilot Sport,New,37551,5.0,crystal black pearl,black,FWD,20–27,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
75,2023,HR-V LX,New,24895,4.7,modern steel metallic,black,FWD,22–31,Gasoline,cvt,2.0L I4 16V GDI DOHC,1,4.0,5.0,4.0,5.0,5.0,5.0,IL,Dealer
76,2022,Pilot Special Edition,New,43600,4.6,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer
77,2022,Accord Sport 2.0T,New,34755,5.0,crystal black pearl,black,FWD,22–32,Gasoline,10-speed automatic,2.0L I4 16V GDI DOHC Turbo,81,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer
78,2023,CR-V EX,New,34405,4.7,canyon,black,AWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,3,5.0,5.0,5.0,4.0,4.0,5.0,IN,Dealer
79,2022,Accord Hybrid Sport,New,32158,3.0,sonic gray pearl,black,FWD,41–44,Hybrid,cvt,2.0L I4 16V MPFI DOHC Hybrid,0,4.9,5.0,5.0,4.9,4.9,5.0,OH,Dealer
80,2022,Accord Hybrid Sport,New,32560,5.0,still night pearl,black,FWD,41–44,Hybrid,cvt,2.0L I4 16V MPFI DOHC Hybrid,20,4.9,5.0,5.0,4.9,4.9,5.0,GA,Dealer
81,2023,Odyssey Elite,New,50765,4.4,basque red pearl ii,crystal black,FWD,19–28,Gasoline,10-speed automatic,V6 Cylinder Engine,0,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer
82,2022,Pilot EX-L,New,43195,5.0,platinum white pearl,blk lth,AWD,19–26,Gasoline,9-speed automatic,V6 Cylinder Engine,0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer
83,2023,CR-V Hybrid Sport Touring,New,39845,4.8,lunar silver metallic,black,AWD,34–40,Hybrid,variable,Gas/Electric I-4 2.0 L/122,0,5.0,3.0,4.0,4.0,5.0,5.0,GA,Dealer
84,2022,Pilot TrailSport,New,48343,4.6,sonic gray pearl,crystal black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,5.0,5.0,5.0,5.0,GA,Dealer
85,2023,CR-V Hybrid Sport Touring,New,39845,4.8,crystal black pearl,black,AWD,22–31,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,3,5.0,3.0,4.0,4.0,5.0,5.0,GA,Dealer
86,2022,Pilot Special Edition,New,44600,5.0,sonic gray pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,5.0,5.0,5.0,5.0,5.0,5.0,OH,Dealer
87,2022,Pilot Sport,New,41770,5.0,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,5.0,5.0,5.0,5.0,5.0,5.0,OH,Dealer
88,2023,CR-V Hybrid Sport Touring,New,40240,4.4,platinum white pearl,black,AWD,22–31,Hybrid,6-speed manual,2.0L I4 16V GDI DOHC Hybrid,3,5.0,3.0,4.0,4.0,5.0,5.0,OH,Dealer
89,2023,CR-V Hybrid Sport Touring,New,39845,4.9,crystal black pearl,black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,0,5.0,3.0,4.0,4.0,5.0,5.0,OH,Dealer
90,2023,CR-V Hybrid Sport,New,34090,4.4,platinum,black,FWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,10,5.0,3.0,4.0,4.0,5.0,5.0,OH,Dealer
91,2023,Civic Sport,New,29540,5.0,sonic gray pearl,black,FWD,22–31,Gasoline,cvt,2.0L I4 16V GDI DOHC,10,5.0,4.6,4.6,4.7,4.1,4.7,NC,Dealer
92,2022,Accord Sport 2.0T,New,38550,5.0,platinum white pearl,black,FWD,22–32,Gasoline,10-speed automatic,2.0L I4 16V GDI DOHC Turbo,9,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
93,2023,CR-V EX,New,34250,4.4,white pearl,crystal black,AWD,22–31,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,0,5.0,5.0,5.0,4.0,4.0,5.0,NC,Dealer
94,2023,Passport TrailSport,New,44895,4.4,crystal black pearl,black,AWD,22–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,4.4,3.6,4.8,4.4,VA,Dealer
95,2022,Pilot Sport,New,41770,5.0,sonic gray pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,FL,Dealer
96,2023,CR-V Hybrid Sport Touring,New,41235,4.7,platinum white pearl,crystal black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,5,5.0,3.0,4.0,4.0,5.0,5.0,FL,Dealer
97,2022,Pilot EX-L,New,42000,5.0,platinum white pearl,beige,FWD,20–27,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
98,2022,Accord Hybrid Sport,New,32165,5.0,lunar,crystal black,FWD,41–44,Hybrid,cvt,2.0L I4 16V MPFI DOHC Hybrid,10,4.9,5.0,5.0,4.9,4.9,5.0,NC,Dealer
99,2022,Passport EX-L,New,48205,4.9,lunar silver metallic,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,5.0,4.9,5.0,4.9,5.0,NC,Dealer
100,2022,Passport EX-L,New,48600,4.9,platinum white pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,5.0,4.9,5.0,4.9,5.0,NC,Dealer
101,2022,Pilot Black Edition,New,53165,4.8,crystal,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,5.0,5.0,5.0,5.0,FL,Dealer
102,2022,Pilot TrailSport,New,46500,4.2,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,14,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
103,2022,Pilot Sport,New,41770,3.4,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,1,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
104,2022,Pilot TrailSport,New,46105,3.4,crystal black pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,4,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
105,2022,Passport TrailSport,New,44660,4.4,platinum white pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,4.9,5.0,4.9,5.0,VA,Dealer
106,2022,Passport TrailSport,New,44660,5.0,sonic gray pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,12,5.0,5.0,4.9,5.0,4.9,5.0,MD,Dealer
107,2023,CR-V EX-L,New,35005,5.0,crystal black pearl,gray,FWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,15,5.0,5.0,5.0,4.0,4.0,5.0,FL,Dealer
108,2023,Civic Si Base,New,29595,4.7,aegean blue metallic,crystal black,FWD,22–31,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,6,5.0,4.4,4.9,4.6,4.1,5.0,FL,Dealer
109,2023,Pilot EX-L 7-Passenger,New,45695,4.8,obsidian blue pearl,gray,AWD,22–31,Gasoline,10-speed automatic,3.5L V6 24V GDI DOHC,12,4.7,4.9,5.0,5.0,4.6,4.9,FL,Dealer
110,2023,Accord Hybrid Touring,New,38985,4.8,gc,black,FWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,12,5.0,5.0,4.9,4.9,4.6,4.9,FL,Dealer
111,2023,Pilot EX-L 8-Passenger,New,43295,4.8,obsidian blue pearl,gray,FWD,22–31,Gasoline,10-speed automatic,3.5L V6 24V GDI DOHC,10,4.9,4.6,4.7,4.6,5.0,5.0,FL,Dealer
112,2023,Civic Si Base,New,29195,4.7,crystal black pearl,red / black,FWD,22–31,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,3,5.0,5.0,4.4,4.8,4.6,5.0,FL,Dealer
113,2023,CR-V Hybrid Sport Touring,New,40240,5.0,urban gray,black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,10,5.0,3.0,4.0,4.0,5.0,5.0,VA,Dealer
114,2023,Ridgeline RTL-E,New,46420,4.8,sonic gray pearl,black,AWD,18–24,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,0,5.0,4.8,4.8,4.2,5.0,5.0,DE,Dealer
115,2022,Pilot Touring 7-Passenger,New,48465,4.4,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
116,2022,Pilot Special Edition,New,44205,4.5,black,crystal black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,42,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer
117,2022,HR-V Sport,New,26545,4.8,aegean blue metallic,black,AWD,26–31,Gasoline,cvt,1.8L I4 16V MPFI SOHC,5,3.8,3.2,3.6,3.6,4.2,4.2,CT,Dealer
118,2022,HR-V Sport,New,26940,4.8,platinum,black,AWD,26–31,Gasoline,cvt,1.8L I4 16V MPFI SOHC,9,3.8,3.2,3.6,3.6,4.2,4.2,CT,Dealer
119,2023,CR-V Hybrid Sport,New,35745,4.9,gray,black,AWD,34–40,Hybrid,cvt,4 Cylinder Engine,5,5.0,3.0,4.0,4.0,5.0,5.0,MA,Dealer
120,2022,Pilot TrailSport,New,42687,4.6,lunar silver metallic,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,13,5.0,5.0,5.0,5.0,5.0,5.0,MA,Dealer
121,2022,Pilot TrailSport,New,42780,4.6,platinum white pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,15,5.0,5.0,5.0,5.0,5.0,5.0,MA,Dealer
122,2022,Pilot Sport,New,41770,5.0,white,crystal black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,11,5.0,5.0,5.0,5.0,5.0,5.0,MA,Dealer
123,2022,Pilot Sport,New,41770,5.0,gray,crystal black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,11,5.0,5.0,5.0,5.0,5.0,5.0,MA,Dealer
124,2023,CR-V Hybrid Sport Touring,New,39447,4.6,meteorite gray metallic,black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,5,5.0,3.0,4.0,4.0,5.0,5.0,MA,Dealer
125,2022,Pilot Touring 7-Passenger,New,48465,5.0,modern steel metallic,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,MA,Dealer
126,2022,Pilot Touring 7-Passenger,New,48860,5.0,deep scarlet pearl,beige,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,1,5.0,5.0,5.0,5.0,5.0,5.0,MA,Dealer
