,Year,Model,Condition,Price,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
37,2023,27,1,35400,4.7,99,4,2,39,1,0,5,5,5.0,5.0,5.0,4.0,4.0,5.0,17,0
38,2023,27,1,35900,4.7,136,4,1,39,1,0,5,3,5.0,5.0,5.0,4.0,4.0,5.0,17,0
39,2023,27,1,36505,3.7,59,4,1,39,1,13,5,2,5.0,5.0,5.0,4.0,4.0,5.0,11,0
40,2022,11,1,34555,4.7,139,4,2,105,2,13,30,12,4.9,5.0,5.0,4.9,4.9,5.0,17,0
41,2022,116,1,39780,5.0,123,4,1,17,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,17,0
42,2023,105,1,41441,4.2,9,4,1,39,1,8,45,4,5.0,4.0,4.3,4.4,4.6,4.9,17,0
43,2022,116,1,41770,5.0,99,4,1,17,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,13,0
44,2023,98,1,43050,4.4,99,4,2,39,1,1,45,5,5.0,5.0,4.0,4.0,4.0,5.0,13,0
45,2023,126,1,44042,5.0,99,4,1,39,1,8,45,5,5.0,4.8,4.8,4.2,5.0,5.0,13,0
46,2022,116,1,41770,4.7,99,31,1,17,1,8,61,7,5.0,5.0,5.0,5.0,5.0,5.0,13,0
47,2023,98,1,42655,4.6,32,18,2,39,1,10,45,8,5.0,5.0,4.0,4.0,4.0,5.0,13,0
48,2022,120,1,46105,4.6,32,18,1,16,1,8,45,3042,5.0,5.0,5.0,5.0,5.0,5.0,13,0
49,2023,105,1,45580,4.8,123,4,1,39,1,8,45,2,4.8,4.7,4.6,4.1,5.0,4.7,13,0
50,2023,30,1,34090,4.4,97,4,2,39,2,13,27,12,5.0,3.0,4.0,4.0,5.0,5.0,16,0
51,2022,116,1,40770,4.6,99,4,1,17,1,8,45,2,5.0,5.0,5.0,5.0,5.0,5.0,21,0
52,2022,102,1,50125,5.0,9,4,1,15,1,8,45,1,5.0,5.0,4.9,5.0,4.9,5.0,16,0
53,2022,116,1,40270,4.9,98,18,1,17,1,8,45,4,5.0,5.0,5.0,5.0,5.0,5.0,21,0
54,2022,116,1,40270,4.9,98,18,1,17,1,8,45,4,5.0,5.0,5.0,5.0,5.0,5.0,21,0
55,2022,21,1,31960,5.0,128,4,2,76,1,13,5,6,5.0,5.0,5.0,5.0,5.0,5.0,14,0
56,2023,31,1,40240,5.0,136,4,1,39,2,13,27,176,5.0,3.0,4.0,4.0,5.0,5.0,9,0
57,2023,30,1,35745,4.5,65,18,1,39,2,13,27,5,5.0,3.0,4.0,4.0,5.0,5.0,9,0
58,2023,92,1,41486,4.6,51,20,2,39,1,10,45,4,5.0,5.0,4.0,4.0,4.0,5.0,21,0
59,2022,129,1,45760,5.0,99,3,1,11,1,8,45,23,5.0,4.9,4.9,4.3,4.7,5.0,9,0
60,2022,11,1,32560,5.0,99,4,2,105,2,13,30,20,4.9,5.0,5.0,4.9,4.9,5.0,9,0
61,2022,11,1,32560,5.0,99,4,2,105,2,13,30,20,4.9,5.0,5.0,4.9,4.9,5.0,9,0
62,2022,115,1,44205,5.0,32,10,1,17,1,8,61,6,5.0,5.0,5.0,5.0,5.0,5.0,21,0
63,2023,98,1,43050,4.4,99,10,2,19,1,1,61,0,5.0,5.0,4.0,4.0,4.0,5.0,21,0
64,2023,128,1,43075,4.8,32,18,1,39,1,10,45,7,5.0,4.8,4.8,4.2,5.0,5.0,4,0
65,2022,118,1,46465,5.0,72,4,2,23,1,8,45,9,5.0,5.0,5.0,5.0,5.0,5.0,4,0
66,2023,83,1,24895,4.6,51,18,2,39,1,13,26,80,4.0,5.0,4.0,5.0,5.0,5.0,4,0
67,2023,129,1,45920,4.8,99,3,1,39,1,10,45,5,5.0,4.8,4.8,4.2,5.0,5.0,28,0
68,2023,31,1,39845,4.8,65,4,1,39,2,13,27,16,5.0,3.0,4.0,4.0,5.0,5.0,42,0
69,2023,27,1,36900,4.7,128,4,1,63,1,13,48,12,5.0,5.0,5.0,4.0,4.0,5.0,23,0
70,2023,27,1,36983,4.5,59,4,1,39,1,13,5,10,5.0,5.0,5.0,4.0,4.0,5.0,11,0
71,2022,116,1,39950,4.5,99,4,1,17,1,8,45,15,5.0,5.0,5.0,5.0,5.0,5.0,11,0
72,2023,101,1,42790,4.5,99,20,1,39,1,8,45,6,4.9,5.0,4.3,4.4,5.0,5.0,11,0
73,2022,115,1,44600,4.8,99,18,1,17,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,41,0
74,2022,116,1,37551,5.0,32,4,2,23,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,17,0
75,2023,83,1,24895,4.7,72,4,2,39,1,13,26,1,4.0,5.0,4.0,5.0,5.0,5.0,13,0
76,2022,115,1,43600,4.6,99,4,1,17,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,21,0
77,2022,20,1,34755,5.0,32,4,2,40,1,1,28,81,5.0,5.0,5.0,5.0,5.0,5.0,14,0
78,2023,26,1,34405,4.7,22,4,1,39,1,13,5,3,5.0,5.0,5.0,4.0,4.0,5.0,14,0
79,2022,11,1,32158,3.0,123,4,2,105,2,13,30,0,4.9,5.0,5.0,4.9,4.9,5.0,34,0
80,2022,11,1,32560,5.0,128,4,2,105,2,13,30,20,4.9,5.0,5.0,4.9,4.9,5.0,9,0
81,2023,95,1,50765,4.4,6,18,2,19,1,1,61,0,5.0,5.0,4.0,4.0,4.0,5.0,21,0
82,2022,108,1,43195,5.0,99,10,1,17,1,8,61,0,5.0,5.0,5.0,5.0,5.0,5.0,21,0
83,2023,31,1,39845,4.8,59,4,1,100,2,15,51,0,5.0,3.0,4.0,4.0,5.0,5.0,9,0
84,2022,120,1,48343,4.6,123,18,1,16,1,8,45,10,5.0,5.0,5.0,5.0,5.0,5.0,9,0
85,2023,31,1,39845,4.8,32,4,1,39,2,10,27,3,5.0,3.0,4.0,4.0,5.0,5.0,9,0
86,2022,115,1,44600,5.0,123,4,1,17,1,8,45,2,5.0,5.0,5.0,5.0,5.0,5.0,34,0
87,2022,116,1,41770,5.0,99,4,1,17,1,8,45,2,5.0,5.0,5.0,5.0,5.0,5.0,34,0
88,2023,31,1,40240,4.4,99,4,1,39,2,7,27,3,5.0,3.0,4.0,4.0,5.0,5.0,34,0
89,2023,31,1,39845,4.9,32,4,1,39,2,13,27,0,5.0,3.0,4.0,4.0,5.0,5.0,34,0
90,2023,30,1,34090,4.4,97,4,2,39,2,13,27,10,5.0,3.0,4.0,4.0,5.0,5.0,34,0
91,2023,60,1,29540,5.0,123,4,2,39,1,13,26,10,5.0,4.6,4.6,4.7,4.1,4.7,26,0
92,2022,20,1,38550,5.0,99,4,2,40,1,1,28,9,5.0,5.0,5.0,5.0,5.0,5.0,26,0
93,2023,26,1,34250,4.4,143,18,1,39,1,10,5,0,5.0,5.0,5.0,4.0,4.0,5.0,26,0
94,2023,105,1,44895,4.4,32,4,1,39,1,8,45,6,5.0,5.0,4.4,3.6,4.8,4.4,44,0
95,2022,116,1,41770,5.0,123,4,1,17,1,8,45,3,5.0,5.0,5.0,5.0,5.0,5.0,8,0
96,2023,31,1,41235,4.7,99,18,1,39,2,13,27,5,5.0,3.0,4.0,4.0,5.0,5.0,8,0
97,2022,108,1,42000,5.0,99,3,2,23,1,8,45,6,5.0,5.0,5.0,5.0,5.0,5.0,26,0
98,2022,11,1,32165,5.0,57,18,2,105,2,13,30,10,4.9,5.0,5.0,4.9,4.9,5.0,26,0
99,2022,101,1,48205,4.9,59,20,1,15,1,8,45,0,5.0,5.0,4.9,5.0,4.9,5.0,26,0
100,2022,101,1,48600,4.9,99,4,1,15,1,8,45,0,5.0,5.0,4.9,5.0,4.9,5.0,26,0
101,2022,106,1,53165,4.8,30,4,1,17,1,8,45,6,5.0,5.0,5.0,5.0,5.0,5.0,8,0
102,2022,120,1,46500,4.2,123,4,1,16,1,8,45,14,5.0,5.0,5.0,5.0,5.0,5.0,44,0
103,2022,116,1,41770,3.4,99,4,1,17,1,8,45,1,5.0,5.0,5.0,5.0,5.0,5.0,44,0
104,2022,120,1,46105,3.4,32,4,1,16,1,8,45,4,5.0,5.0,5.0,5.0,5.0,5.0,44,0
105,2022,105,1,44660,4.4,99,4,1,15,1,8,45,10,5.0,5.0,4.9,5.0,4.9,5.0,44,0
106,2022,105,1,44660,5.0,123,4,1,15,1,8,45,12,5.0,5.0,4.9,5.0,4.9,5.0,19,0
107,2023,27,1,35005,5.0,32,20,2,39,1,13,5,15,5.0,5.0,5.0,4.0,4.0,5.0,8,0
108,2023,53,1,29595,4.7,1,18,2,39,1,7,5,6,5.0,4.4,4.9,4.6,4.1,5.0,8,0
109,2023,109,1,45695,4.8,89,20,1,39,1,1,44,12,4.7,4.9,5.0,5.0,4.6,4.9,8,0
110,2023,12,1,38985,4.8,47,4,2,39,2,13,27,12,5.0,5.0,4.9,4.9,4.6,4.9,8,0
111,2023,110,1,43295,4.8,89,20,2,39,1,1,44,10,4.9,4.6,4.7,4.6,5.0,5.0,8,0
112,2023,53,1,29195,4.7,32,37,2,39,1,7,5,3,5.0,5.0,4.4,4.8,4.6,5.0,8,0
113,2023,31,1,40240,5.0,135,4,1,39,2,13,27,10,5.0,3.0,4.0,4.0,5.0,5.0,44,0
114,2023,129,1,46420,4.8,123,4,1,11,1,10,60,0,5.0,4.8,4.8,4.2,5.0,5.0,7,0
115,2022,118,1,48465,4.4,32,4,1,17,1,8,45,3,5.0,5.0,5.0,5.0,5.0,5.0,37,0
116,2022,115,1,44205,4.5,9,18,1,17,1,8,45,42,5.0,5.0,5.0,5.0,5.0,5.0,30,0
117,2022,84,1,26545,4.8,1,4,1,56,1,13,18,5,3.8,3.2,3.6,3.6,4.2,4.2,6,0
118,2022,84,1,26940,4.8,97,4,1,56,1,13,18,9,3.8,3.2,3.6,3.6,4.2,4.2,6,0
119,2023,30,1,35745,4.9,51,4,1,100,2,13,48,5,5.0,3.0,4.0,4.0,5.0,5.0,18,0
120,2022,120,1,42687,4.6,59,4,1,16,1,8,45,13,5.0,5.0,5.0,5.0,5.0,5.0,18,0
121,2022,120,1,42780,4.6,99,4,1,16,1,8,45,15,5.0,5.0,5.0,5.0,5.0,5.0,18,0
122,2022,116,1,41770,5.0,139,18,1,17,1,8,45,11,5.0,5.0,5.0,5.0,5.0,5.0,18,0
123,2022,116,1,41770,5.0,51,18,1,17,1,8,45,11,5.0,5.0,5.0,5.0,5.0,5.0,18,0
124,2023,31,1,39447,4.6,65,4,1,39,2,13,27,5,5.0,3.0,4.0,4.0,5.0,5.0,18,0
125,2022,118,1,48465,5.0,72,4,1,17,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,18,0
126,2022,118,1,48860,5.0,36,3,1,17,1,8,45,1,5.0,5.0,5.0,5.0,5.0,5.0,18,0
127,2022,108,1,44000,5.0,99,3,1,17,1,8,45,1,5.0,5.0,5.0,5.0,5.0,5.0,18,0
128,2023,31,1,40240,4.9,136,4,1,39,2,13,27,4,5.0,3.0,4.0,4.0,5.0,5.0,18,0
129,2022,108,1,44000,5.0,99,4,1,17,1,8,45,1,5.0,5.0,5.0,5.0,5.0,5.0,18,0
130,2023,26,1,34250,4.7,104,20,1,39,1,13,5,5,5.0,5.0,5.0,4.0,4.0,5.0,4,0
131,2023,30,1,34150,4.7,136,4,2,39,2,13,27,3,5.0,3.0,4.0,4.0,5.0,5.0,4,0
132,2022,108,1,42000,5.0,99,4,2,23,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,4,0
133,2022,116,1,40770,5.0,123,4,1,17,1,8,45,7,5.0,5.0,5.0,5.0,5.0,5.0,32,0
134,2022,115,1,43687,4.8,123,4,1,17,1,8,45,3,5.0,5.0,5.0,5.0,5.0,5.0,46,0
135,2023,129,1,48820,4.8,105,4,1,39,1,10,45,5,5.0,4.8,4.8,4.2,5.0,5.0,28,0
136,2022,8,1,32164,5.0,59,4,2,105,2,13,48,0,4.9,5.0,5.0,4.9,4.9,5.0,35,0
137,2022,8,1,32559,5.0,123,4,2,105,2,13,48,5,4.9,5.0,5.0,4.9,4.9,5.0,35,0
138,2022,60,1,25044,4.6,65,4,2,81,1,13,48,5,4.6,4.9,4.4,4.6,4.6,4.7,35,0
139,2023,129,1,44695,4.8,99,3,1,39,1,8,45,0,5.0,4.8,4.8,4.2,5.0,5.0,42,0
140,2023,129,1,44420,4.5,99,18,1,39,1,10,45,14,5.0,4.8,4.8,4.2,5.0,5.0,42,0
141,2023,109,1,43545,4.8,59,20,2,39,1,1,44,5,5.0,5.0,4.5,5.0,4.8,4.8,42,0
142,2022,118,1,48860,5.0,99,3,1,17,1,8,45,10,5.0,5.0,5.0,5.0,5.0,5.0,28,0
143,2023,128,1,43470,4.7,105,4,1,39,1,10,45,5,5.0,4.8,4.8,4.2,5.0,5.0,23,0
144,2022,11,1,32560,5.0,123,4,2,105,2,13,30,0,4.9,5.0,5.0,4.9,4.9,5.0,22,0
145,2022,108,1,43605,5.0,59,20,1,17,1,8,45,6,5.0,5.0,5.0,5.0,5.0,5.0,11,0
146,2022,115,1,40666,5.0,36,3,1,17,1,8,45,4,5.0,5.0,5.0,5.0,5.0,5.0,17,0
147,2023,102,1,43344,5.0,99,20,1,39,1,9,45,2,4.6,4.7,4.3,4.2,5.0,4.5,17,0
148,2023,26,1,33250,4.7,99,18,1,39,1,0,5,2,5.0,5.0,5.0,4.0,4.0,5.0,17,0
149,2023,5,1,30705,4.7,59,4,2,78,1,13,48,2,4.3,4.8,4.4,4.7,4.5,4.7,47,0
150,2022,116,1,39995,4.6,32,18,1,17,1,8,45,10,5.0,5.0,5.0,5.0,5.0,5.0,41,0
151,2023,81,1,31040,4.8,99,20,1,39,1,13,26,0,4.0,5.0,4.0,5.0,5.0,5.0,13,0
152,2022,120,1,46500,4.7,99,31,1,16,1,8,61,7,5.0,5.0,5.0,5.0,5.0,5.0,13,0
153,2022,116,1,41770,4.6,123,18,1,17,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,13,0
154,2022,120,1,46105,4.6,32,18,1,16,1,8,45,862,5.0,5.0,5.0,5.0,5.0,5.0,13,0
155,2022,106,1,53560,4.6,99,18,1,17,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,13,0
156,2023,126,1,47920,4.7,123,4,1,39,1,10,45,1,5.0,4.8,4.8,4.2,5.0,5.0,13,0
157,2023,60,1,26140,5.0,99,4,2,39,1,13,26,3,4.6,4.1,4.3,4.6,5.0,4.7,14,0
158,2023,27,1,37055,4.9,63,4,1,39,1,13,5,0,5.0,5.0,5.0,4.0,4.0,5.0,34,0
159,2022,11,1,31560,4.5,99,4,2,105,2,13,30,12,4.9,5.0,5.0,4.9,4.9,5.0,9,0
160,2023,92,1,41486,4.6,14,20,2,39,1,10,45,5,5.0,5.0,4.0,4.0,4.0,5.0,21,0
161,2023,30,1,34090,5.0,104,4,2,39,2,13,27,4,5.0,3.0,4.0,4.0,5.0,5.0,9,0
162,2023,31,1,40850,4.4,128,10,1,100,2,13,48,0,5.0,3.0,4.0,4.0,5.0,5.0,21,0
163,2023,31,1,40240,4.4,51,10,1,100,2,13,48,0,5.0,3.0,4.0,4.0,5.0,5.0,21,0
164,2022,19,1,29720,4.6,99,4,2,76,1,13,5,8,5.0,5.0,5.0,5.0,5.0,5.0,21,0
165,2022,19,1,30470,5.0,99,4,2,76,1,13,5,3,5.0,5.0,5.0,5.0,5.0,5.0,34,0
166,2022,19,1,30470,5.0,99,4,2,76,1,13,5,2,5.0,5.0,5.0,5.0,5.0,5.0,34,0
167,2022,118,1,48465,4.7,32,4,1,17,1,8,45,9,5.0,5.0,5.0,5.0,5.0,5.0,34,0
168,2023,31,1,40240,4.7,99,4,1,39,2,13,27,10,5.0,3.0,4.0,4.0,5.0,5.0,34,0
169,2022,21,1,32159,5.0,128,4,2,76,1,13,5,10,5.0,5.0,5.0,5.0,5.0,5.0,48,0
170,2022,20,1,35349,5.0,123,4,2,40,1,1,28,10,5.0,5.0,5.0,5.0,5.0,5.0,48,0
171,2022,19,1,30470,5.0,139,4,2,76,1,13,5,4,5.0,5.0,5.0,5.0,5.0,5.0,37,0
172,2023,129,1,48005,4.8,51,4,1,39,1,10,45,4,5.0,4.8,4.8,4.2,5.0,5.0,37,0
173,2023,129,1,46420,5.0,98,3,1,39,1,8,45,10,5.0,4.8,4.8,4.2,5.0,5.0,8,0
174,2023,30,1,35145,4.7,128,18,2,39,2,13,27,7,5.0,3.0,4.0,4.0,5.0,5.0,8,0
175,2023,53,1,29590,4.1,99,37,2,39,1,14,5,29,4.9,4.6,5.0,4.3,4.9,4.9,8,0
176,2022,115,1,44205,4.8,72,4,1,17,1,8,45,6,5.0,5.0,5.0,5.0,5.0,5.0,8,0
177,2023,30,1,34090,4.9,136,4,2,103,2,15,51,0,5.0,3.0,4.0,4.0,5.0,5.0,26,0
178,2023,30,1,34090,4.9,99,4,2,103,2,15,51,0,5.0,3.0,4.0,4.0,5.0,5.0,26,0
179,2023,120,1,51845,4.8,123,4,1,39,1,1,44,10,4.8,4.7,4.4,4.5,4.7,4.8,8,0
180,2023,53,1,29595,4.8,1,37,2,39,1,7,5,12,4.9,4.6,5.0,4.5,4.9,4.8,8,0
181,2023,27,1,35005,4.8,49,20,2,39,1,13,5,10,5.0,5.0,5.0,4.0,4.0,5.0,8,0
182,2023,92,1,42360,4.7,92,26,2,39,1,10,45,0,5.0,5.0,4.0,4.0,4.0,5.0,37,0
183,2023,128,1,43075,4.8,32,4,1,11,1,10,60,0,5.0,4.8,4.8,4.2,5.0,5.0,7,0
184,2022,126,1,47260,5.0,99,4,1,11,1,8,45,7435,5.0,4.9,4.9,4.3,4.7,5.0,33,0
185,2023,30,1,35745,4.9,59,4,1,39,2,13,27,15,5.0,3.0,4.0,4.0,5.0,5.0,6,0
186,2023,119,1,50350,4.9,105,4,1,16,1,1,61,6,4.3,5.0,4.6,4.7,5.0,4.6,18,0
187,2022,84,1,26545,4.9,51,28,1,56,1,12,48,0,3.8,3.2,3.6,3.6,4.2,4.2,18,0
188,2023,117,1,49847,4.6,98,4,1,39,1,1,44,5,4.9,4.6,4.3,4.7,4.7,4.5,18,0
189,2022,20,1,35150,5.0,97,4,2,40,1,1,28,5,5.0,5.0,5.0,5.0,5.0,5.0,29,0
190,2023,105,1,45580,4.9,123,4,1,39,1,10,45,4,4.8,4.2,4.3,5.0,4.6,4.7,18,0
191,2022,118,1,48465,2.1,32,4,1,17,1,8,45,12,5.0,5.0,5.0,5.0,5.0,5.0,18,0
192,2022,116,1,41375,4.9,32,4,1,17,1,8,45,0,5.0,5.0,5.0,5.0,5.0,5.0,4,0
193,2022,108,1,40500,4.8,99,3,2,23,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,4,0
194,2022,11,1,32560,4.7,122,4,2,105,2,13,30,2,4.9,5.0,5.0,4.9,4.9,5.0,4,0
195,2022,116,1,39038,4.3,32,4,1,17,1,8,45,11,5.0,5.0,5.0,5.0,5.0,5.0,3,0
196,2023,27,1,36900,4.3,128,4,1,39,1,13,5,11,5.0,5.0,5.0,4.0,4.0,5.0,3,0
197,2022,105,1,45276,5.0,123,4,1,15,1,8,45,35,5.0,5.0,4.9,5.0,4.9,5.0,31,0
198,2022,116,1,41375,4.2,89,4,1,17,1,8,45,3,5.0,5.0,5.0,5.0,5.0,5.0,5,0
199,2022,102,1,44998,4.7,89,20,1,15,1,8,45,11,5.0,5.0,4.9,5.0,4.9,5.0,46,0
200,2022,101,1,38505,4.7,123,4,1,15,1,8,45,2812,5.0,5.0,4.9,5.0,4.9,5.0,46,0
201,2022,115,1,44600,4.7,99,4,1,17,1,8,45,6,5.0,5.0,5.0,5.0,5.0,5.0,46,0
202,2022,12,1,39079,5.0,99,25,2,105,2,13,48,5,4.9,5.0,5.0,4.9,4.9,5.0,35,0
203,2023,95,1,50764,4.4,59,20,2,19,1,1,61,0,5.0,5.0,4.0,4.0,4.0,5.0,35,0
204,2022,42,1,27039,4.6,99,20,2,99,1,13,48,1,4.6,4.9,4.4,4.6,4.6,4.7,35,0
205,2022,102,1,47225,4.9,32,4,1,15,1,8,45,10,5.0,5.0,4.9,5.0,4.9,5.0,42,0
206,2023,128,1,44370,4.5,123,18,1,39,1,10,45,5,5.0,4.8,4.8,4.2,5.0,5.0,42,0
207,2023,31,1,39845,4.8,65,4,1,39,2,13,27,2,5.0,3.0,4.0,4.0,5.0,5.0,42,0
208,2023,81,1,29650,5.0,99,20,2,39,1,10,26,5,4.0,5.0,4.0,5.0,5.0,5.0,42,0
209,2022,116,1,39375,5.0,9,4,2,23,1,8,45,200,5.0,5.0,5.0,5.0,5.0,5.0,23,0
210,2022,116,1,41375,5.0,9,4,1,17,1,8,45,25,5.0,5.0,5.0,5.0,5.0,5.0,23,0
211,2022,118,1,46860,4.9,99,4,2,23,1,8,45,10,5.0,5.0,5.0,5.0,5.0,5.0,42,0
212,2023,119,1,50350,4.7,99,20,1,16,1,1,61,5,4.9,5.0,4.8,4.7,5.0,4.6,23,0
213,2022,11,1,32560,4.9,123,4,2,105,2,13,30,0,4.9,5.0,5.0,4.9,4.9,5.0,22,0
214,2022,11,1,32560,5.0,123,4,2,105,2,13,30,0,4.9,5.0,5.0,4.9,4.9,5.0,22,0
215,2022,120,1,46500,5.0,99,4,1,16,1,8,45,11,5.0,5.0,5.0,5.0,5.0,5.0,11,0
216,2023,105,1,45290,4.8,105,4,1,39,1,8,45,8,4.8,4.4,5.0,4.7,4.9,4.7,23,0
217,2022,11,1,34555,4.7,99,4,2,105,2,13,30,12,4.9,5.0,5.0,4.9,4.9,5.0,17,0
218,2022,120,1,46500,4.8,99,4,1,16,1,8,45,11,5.0,5.0,5.0,5.0,5.0,5.0,17,0
219,2023,27,1,36900,4.7,99,20,1,39,1,13,5,5,5.0,5.0,5.0,4.0,4.0,5.0,16,0
220,2022,19,1,30470,5.0,99,4,2,76,1,13,5,5,5.0,5.0,5.0,5.0,5.0,5.0,13,0
221,2023,117,1,49895,4.8,72,4,1,39,1,1,44,1,4.9,5.0,4.5,4.7,4.2,5.0,13,0
222,2022,101,1,42053,4.6,32,18,1,15,1,8,45,335,5.0,5.0,4.9,5.0,4.9,5.0,13,0
223,2022,115,1,44600,4.6,36,18,1,17,1,8,45,10,5.0,5.0,5.0,5.0,5.0,5.0,13,0
224,2023,129,1,46420,4.6,123,18,1,39,1,10,45,5,5.0,4.8,4.8,4.2,5.0,5.0,13,0
225,2023,98,1,43050,4.8,105,4,2,39,1,1,45,10,5.0,5.0,4.0,4.0,4.0,5.0,13,0
226,2022,12,1,38685,5.0,32,4,2,105,2,13,30,2,4.9,5.0,5.0,4.9,4.9,5.0,41,0
227,2022,116,1,41770,5.0,99,4,1,17,1,8,45,21,5.0,5.0,5.0,5.0,5.0,5.0,41,0
